Trial,100000000:exe,100000000:preempt,100:exe,100:preempt,50:exe,50:preempt,20:exe,20:preempt,15:exe,15:preempt,10:exe,10:preempt,5:exe,5:preempt,3:exe,3:preempt,2:exe,2:preempt
1,8.070106368,0,8.325870592,79415,8.38886656,159350,8.617366784,404186,8.710278144,545992,8.921219328,821654,9.827419904,1797038,10.561524992,3188991,11.9425152,5227423
2,8.07568512,0,8.312726528,79315,8.377984,159195,8.571908864,402009,8.712277504,545931,8.890629376,819270,9.86076544,1803696,10.528259328,3181045,11.887328,5220924
3,8.0835008,0,8.314097664,79322,8.376189696,159120,8.586353152,402477,8.674640384,544085,8.921159424,822417,9.86640256,1804678,10.523337728,3178530,11.967194112,5266557
4,8.068244224,0,8.30885376,79273,8.38320768,159240,8.588273664,402532,8.70759936,545738,8.908273408,820366,9.873779712,1804902,10.637749504,3211812,11.901596928,5215121
5,8.073526272,0,8.307803392,79261,8.39398016,159465,8.610112768,403366,8.733468672,545179,8.89532416,819394,9.856453888,1801395,10.561064192,3188104,11.995115776,5267078
6,8.074318848,0,8.308098304,79249,8.387661568,159364,8.593266432,402548,8.690048768,544317,8.91735936,822002,9.835225088,1797558,10.64779648,3215424,11.863910656,5209545
7,8.074235392,0,8.317888512,79344,8.37524864,159124,8.598071296,402981,8.683344128,544070,8.950430464,822039,9.870606336,1802598,10.532676608,3181060,12.02182784,5277277
8,8.0730816,0,8.298646016,79175,8.384244224,159325,8.615247104,403704,8.712158208,545881,8.914740992,820992,9.837960192,1798894,10.560811264,3192203,11.881989376,5211838
9,8.077410816,0,8.320041728,79373,8.376646912,159151,8.584024832,402333,8.71678208,546157,8.906024704,820224,9.871482624,1804723,10.62558976,3213091,11.873142272,5211674
10,8.074486272,0,8.31570432,79349,8.400041984,159541,8.585335552,402344,8.70837632,545681,8.89589632,820357,9.845334784,1798929,10.581911552,3195641,11.972861696,5263877
11,8.0715328,0,8.30598528,79251,8.37967488,159180,8.595859712,402738,8.70450176,545386,8.894828032,819287,9.83316992,1798620,10.766494208,3261163,12.052490752,5303899
12,8.079348992,0,8.300448768,79205,8.382555392,159304,8.589252352,402333,8.710069248,546002,8.908282112,820375,9.854237184,1801891,10.52399232,3178563,11.970653952,5269910
13,8.071639552,0,8.309421312,79265,8.385470208,159243,8.58891904,402562,8.714925056,546516,8.911032832,821517,9.85834496,1802937,10.531902976,3186392,11.84467968,5204501
median,8.074235392,0,8.309421312,79265,8.38320768,159240,8.589252352,402333,8.710069248,546002,8.908282112,820375,9.856453888,1801395,10.561064192,3188104,11.9425152,5227423
